RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.22310800133640007,0.892669371567,0.847009890695,324553,8227,12359,8227,95.022281974
0.22082579906564465,0.896587370129,0.848185880693,324877,7903,12264,7903,95.1235966467
0.2368447671816722,0.888367324916,0.815270539594,324504,8276,14923,8276,94.3904556259
0.25795591189481215,0.910658113859,0.731069655744,326986,5794,21725,5794,93.3458747519
0.25330682460376963,0.890822898805,0.765309532946,325203,7577,18959,7577,93.5835652609
0.2556206542621185,0.913984290775,0.734622383422,327195,5585,21438,5585,93.4658081115
0.2586533126843106,0.881962921946,0.759095354221,324573,8207,19461,8207,93.3098463837
0.25612151038390396,0.886333525346,0.761880593689,324887,7893,19236,7893,93.4401771919
0.26553114880308626,0.885864203068,0.733557803003,325145,7635,21524,7635,92.9493209015
0.3466628920685051,0.906494389663,0.429025908916,329205,3575,46125,3575,87.9824839263
